"Time","value"
1706346668396,52147
1706346668490,52147
1706346668584,52149
1706346668678,52147
1706346668772,52147
1706346668865,52149
1706346668960,52148
1706346669053,52149
1706346669147,52148
1706346669242,52148
1706346669335,52147
1706346669429,52147
1706346669523,52148
1706346669617,52147
1706346669711,52147
1706346669805,52146
1706346669899,52149
1706346669993,52149
1706346670086,52147
1706346670180,52149
1706346670274,52147
1706346670368,52147
1706346670462,52147
1706346670556,52151
1706346670650,52151
1706346670744,52147
1706346670838,52148
1706346670932,52148
1706346671026,52146
1706346671119,52150
1706346671213,52149
1706346671307,52149
1706346671401,52149
1706346671495,52149
1706346671589,52147
1706346671683,52148
1706346671777,52148
1706346671871,52147
1706346671965,52146
1706346672289,52148
1706346672383,52151
1706346672477,52150
1706346672571,52151
1706346672665,52154
1706346672758,52153
1706346672852,52149
1706346672946,52146
1706346673040,52151
1706346673134,52150
1706346673228,52147
1706346673322,52148
1706346673416,52148
1706346673510,52148
1706346673604,52147
1706346673698,52145
1706346673791,52148
1706346673885,52147
1706346673979,52147
1706346674074,52149
1706346674167,52149
1706346674261,52147
1706346674355,52147
1706346674449,52150
1706346674543,52151
1706346674637,52151
1706346674731,52150
1706346674825,52145
1706346674919,52144
1706346675012,52147
1706346675106,52147
1706346675200,52148
1706346675295,52147
1706346675388,52151
1706346675482,52150
1706346675576,52148
1706346675670,52151
1706346675764,52150
1706346675858,52149
1706346675952,52148
1706346676045,52148
1706346676139,52146
1706346676233,52148
1706346676327,52147
1706346676421,52147
1706346676515,52148
1706346676609,52148
1706346676703,52150
1706346676797,52149
1706346676891,52150
1706346676985,52149
1706346677332,52149
1706346677426,52148
1706346677520,52151
1706346677613,52153
1706346677708,52146
1706346677801,52147
1706346677895,52150
1706346677990,52151
1706346678083,52151
1706346678177,52149
1706346678271,52148
1706346678365,52149
1706346678459,52151
1706346678552,52150
1706346678646,52149
1706346678742,52150
1706346678834,52151
1706346678928,52150
1706346679022,52150
1706346679116,52147
1706346679210,52148
1706346679304,52148
1706346679398,52147
1706346679492,52148
1706346679585,52151
1706346679679,52151
1706346679773,52154
1706346679867,52153
1706346679962,52150
1706346680055,52149
1706346680149,52151
1706346680243,52150
1706346680337,52150
1706346680431,52149
1706346680525,52151
1706346680619,52149
